id,size,name,mod_class
413,40.191845,"Dietrich, Fred Samuel",2
414,40.191845,"Altomare, Ivy Paige",5
415,40.57554,"Blobe, Gerard Conrad",2
416,40.767387,"Hsu, Shiao-Wen David",1
417,40.767387,"Hurwitz, Herbert Ira",1
418,40.191845,"Morse, Michael Aaron",1
419,40.767387,"Sutton, Linda Marie",4
420,41.53477,"Amaldoss, Wilfred",11
421,41.151077,"Dodge, Kenneth A.",6
422,41.151077,"Ambrus, Attila",12
423,41.151077,"Ames, Warwick Aubrey",0
424,40.57554,"Hill, Kevin Dennis",0
425,40,"Jooste, Edmund Hilton",4
426,44.028778,"Amundsen, Cindy Louise",10
427,43.645084,"Grill, Warren M.",6
428,42.110313,"Webster, George David",10
429,54.38849,"Siddiqui, Nazema Yusuf",6
430,45.179855,"Weidner, Alison Catherine",6
431,51.318947,"Visco, Anthony Gabriele",0
432,82.20624,"Kawasaki, Amie",10
433,41.53477,"Krystal, Andrew Darrell",6
434,43.069546,"Preud' homme, Xavier A.",6
435,70.88729,"Ananat, Elizabeth Oltmans",10
436,41.342926,"Gassman-Pines, Anna",10
437,61.486813,"Gibson-Davis, Christina M.",6
438,40.767387,"Anderson, Deverick John",6
439,40,"Cunningham, Coleen Kathryn",10
440,43.45324,"Hendershot, Edward Ferguson",4
441,40.767387,"Sangvai, Devdutta Gangadhar",8
442,40.191845,"Tsalik, Ephraim",2
443,40.383694,"Chen, Luke Francis",6
444,40.767387,"Sexton, Daniel John",2
445,42.110313,"Wolfe, Cameron Robert",5
446,40,"Schmader, Kenneth Edwin",8
447,40.191845,"Davis Jr., Robert Duane",1
448,40,"Onaitis, Mark William",0
449,40.191845,"Snyder, Laurie Dee",1
450,41.72662,"Moehring, Rebekah",2
451,44.604317,"Ming, David Yung",4
452,41.53477,"Vaslef, Steven Nicholas",1
453,46.906475,"Harrison, John Kevin",0
454,42.110313,"Joyce, Maria Josephine",4
455,41.72662,"Anderson, Kristin Ann",10
456,41.53477,"Hirschey, Matthew",2
457,40,"Newgard, Christopher Bang",2
458,40,"Stevens, Robert David",2
459,40,"Anderson, Ruth A.",12
460,40,"Bailey Jr., Donald Etheridge",12
461,40,"Docherty, Sharron Lee",12
462,40.191845,"McConnell, Eleanor Schildwachter",12
463,40.383694,"Short, Nancy Munn",12
464,40.191845,"Corazzini, Kirsten N",12
465,40.57554,"Colon-Emeric, Cathleen Sellner",8
466,40,"Granger, Bradi Bartrug",12
467,43.069546,"Galanos, Anthony Nicholas",4
468,41.151077,"Day, Lisa J",12
469,41.53477,"Pinheiro, Sandro Oliveira",8
470,40.191845,"Steinhauser, Karen E.",6
471,44.220623,"Andolsek, Kathryn Marijoan",8
472,40,"Frush, Karen Sue Hamilton",8
473,40.767387,"Griffith, Brian Carey",8
474,40.57554,"Stephany, Alyssa Marie",8
475,40,"Dzau, Victor J.",8
476,41.342926,"Murphy, Gwendolyn Curtis",8
477,40,"Nagler, Alisa",8
478,42.110313,"Weinerth, John Louis",8
479,42.30216,"Boggan, Joel",10
480,40.767387,"Andrews, Nancy Catherine",2
481,40,"Angold, Adrian Christopher",6
482,40.383694,"Copeland, William Everett",6
483,40.383694,"Costello, Elizabeth Jane",6
484,40.959232,"Egger, Helen Link",6
485,40.959232,"Erkanli, Alaattin",2
486,40.383694,"Patkar, Ashwin Anand",10
487,40.959232,"Angrist, Misha",2
488,49.016785,"Davis, Erica Ellen",2
489,40,"Jiang, Yong-Hui",2
490,40,"Kawamoto, Kensaku",4
491,42.877697,"Lobach, David Franklin",4
492,42.494003,"Olsen, Elise Arline",1
493,41.342926,"Felker, Gary Michael",0
494,40.383694,"Patel, Uptal Dinesh",0
